customer_id,first_name,last_name,gender,birth_year,country,city,region,acquisition_channel,loyalty_tier,registration_date,email
C000001,Eva,Savic,F,1991,Cyprus,Limassol,Limassol,offline,Bronze,2022-02-08,customer000001@synthetic.example
C000002,Eva,Nikolic,F,1954,Serbia,Nis,Southern Serbia,offline,Gold,2023-05-10,customer000002@synthetic.example
C000003,Anna,Jovanovic,F,1992,Cyprus,Larnaca,Larnaca,affiliate,Bronze,2022-02-18,customer000003@synthetic.example
C000004,Ivan,Petrov,F,1970,Serbia,Novi Sad,Vojvodina,social,Bronze,2024-08-03,customer000004@synthetic.example
C000005,Olga,Nikolic,M,1950,Serbia,Kragujevac,Sumadija,affiliate,Gold,2022-12-18,customer000005@synthetic.example
C000006,Marko,Markovic,M,1968,Serbia,Novi Sad,Vojvodina,paid_search,Silver,2025-10-04,customer000006@synthetic.example
C000007,Olga,Dimitrov,F,1988,Cyprus,Limassol,Limassol,referral,Silver,2022-03-14,customer000007@synthetic.example
C000008,Stefan,Markovic,M,1958,Cyprus,Limassol,Limassol,organic,Bronze,2023-07-13,customer000008@synthetic.example
C000009,Bojan,Nikolic,M,1952,Cyprus,Limassol,Limassol,offline,Bronze,2023-05-08,customer000009@synthetic.example
C000010,Elena,Jovanovic,M,1963,Serbia,Belgrade,Belgrade,paid_search,Silver,2025-10-19,customer000010@synthetic.example
C000011,Anna,Vasic,F,1970,Cyprus,Paphos,Paphos,paid_search,Silver,2025-12-20,customer000011@synthetic.example
C000012,Nikola,Jovanovic,M,1949,Serbia,Novi Sad,Vojvodina,paid_search,Gold,2025-05-09,customer000012@synthetic.example
C000013,Andrej,Vasic,F,1950,Cyprus,Limassol,Limassol,referral,Bronze,2024-06-14,customer000013@synthetic.example
C000014,Anna,Boric,M,2002,Serbia,Belgrade,Belgrade,paid_search,Bronze,2025-09-07,customer000014@synthetic.example
C000015,Andrej,Evans,M,2001,Cyprus,Limassol,Limassol,social,Silver,2023-11-15,customer000015@synthetic.example
C000016,Nikola,Evans,M,1996,Serbia,Belgrade,Belgrade,organic,Bronze,2024-07-19,customer000016@synthetic.example
C000017,Daniel,Vasic,M,1965,Serbia,Novi Sad,Vojvodina,offline,Bronze,2025-03-25,customer000017@synthetic.example
C000018,Mila,Boric,M,1986,Cyprus,Nicosia,Nicosia,organic,Bronze,2022-03-13,customer000018@synthetic.example
C000019,Anna,Boric,M,1993,Serbia,Novi Sad,Vojvodina,offline,Gold,2025-03-02,customer000019@synthetic.example
C000020,Olga,Boric,F,1970,Serbia,Belgrade,Belgrade,social,Bronze,2023-10-11,customer000020@synthetic.example
C000021,Tanja,Costa,M,1994,Serbia,Belgrade,Belgrade,organic,Silver,2022-11-26,customer000021@synthetic.example
C000022,Stefan,Evans,F,1966,Serbia,Belgrade,Belgrade,organic,Bronze,2022-04-05,customer000022@synthetic.example
C000023,Ivan,Georgiou,M,1963,Cyprus,Nicosia,Nicosia,referral,Silver,2025-12-01,customer000023@synthetic.example
C000024,Anna,Nikolic,F,1991,Serbia,Nis,Southern Serbia,organic,Bronze,2022-06-14,customer000024@synthetic.example
C000025,Sofia,Adams,M,1980,Cyprus,Limassol,Limassol,social,Bronze,2023-06-06,customer000025@synthetic.example
C000026,Eva,Vasic,M,1994,Serbia,Novi Sad,Vojvodina,social,Bronze,2023-11-15,customer000026@synthetic.example
C000027,Olga,Ilic,F,2002,Cyprus,Larnaca,Larnaca,social,Bronze,2023-06-03,customer000027@synthetic.example
C000028,Alex,Evans,M,1990,Serbia,Belgrade,Belgrade,paid_search,Silver,2023-07-20,customer000028@synthetic.example
C000029,Stefan,Evans,F,1952,Cyprus,Limassol,Limassol,social,Bronze,2025-07-26,customer000029@synthetic.example
C000030,Andrej,Petrov,F,1974,Cyprus,Nicosia,Nicosia,social,Gold,2022-08-19,customer000030@synthetic.example
C000031,Daniel,Evans,U,1952,Cyprus,Paphos,Paphos,paid_search,Bronze,2022-01-08,customer000031@synthetic.example
C000032,Sofia,Georgiou,M,1969,Cyprus,Larnaca,Larnaca,organic,Bronze,2025-04-24,customer000032@synthetic.example
C000033,Ivan,Adams,M,1990,Serbia,Belgrade,Belgrade,social,Bronze,2022-07-15,customer000033@synthetic.example
C000034,Victor,Adams,F,1981,Serbia,Nis,Southern Serbia,paid_search,Gold,2025-05-02,customer000034@synthetic.example
C000035,Victor,Markovic,M,1952,Cyprus,Paphos,Paphos,referral,Bronze,2023-11-11,customer000035@synthetic.example
C000036,Marko,Vasic,M,1965,Cyprus,Nicosia,Nicosia,social,Silver,2022-10-11,customer000036@synthetic.example
